distancia_km,pasajeros,hora_recoleccion,zona_origen,zona_destino,duracion_minutos
2.6071308,1,20,236,74,8.216666666666667
2.9611856000000003,1,9,74,166,12.033333333333333
8.9962106,1,20,65,63,31.066666666666666
3.0416526,1,20,74,263,10.766666666666667
6.759228,4,14,166,48,14.316666666666666
4.345218,1,22,74,238,13.483333333333333
2.8807186000000002,1,10,74,236,10.583333333333334
1.3196588,1,18,43,236,2.95
1.7541806000000002,2,15,97,97,11.283333333333333
5.7614372000000005,1,14,82,138,10.266666666666667
2.8324384,1,14,75,238,16.133333333333333
4.0716301999999995,1,16,82,138,10.516666666666667
2.1565156,1,6,74,75,6.266666666666667
16.045119800000002,1,12,244,113,32.88333333333333
6.7753214,1,17,74,244,22.15
2.4783836,1,14,74,166,9.866666666666667
1.8668344,1,23,173,173,9.15
2.1404222,1,14,74,74,11.233333333333333
4.3613114,1,17,130,121,20.433333333333334
2.655411,1,10,43,239,10.766666666666667
1.6737136000000001,1,13,41,24,7.966666666666667
1.9633947999999999,1,21,33,52,8.766666666666667
1.1265379999999998,1,20,92,171,7.633333333333334
2.6875978,1,13,97,189,10.383333333333333
0.9334172,1,21,166,24,7.05
2.5749440000000003,2,8,74,236,18.816666666666666
3.057746,1,16,65,189,18.133333333333333
5.471756,1,6,74,141,18.25
2.1887024,1,14,75,74,5.55
27.117379000000003,1,14,74,132,42.75
3.1543064,1,18,66,25,13.65
4.0394434,1,14,166,244,11.616666666666667
4.586619,1,13,97,225,18.233333333333334
1.9794882,1,10,95,173,9.016666666666667
6.179865599999999,1,13,226,196,24.183333333333334
10.138842,1,15,244,142,23.683333333333334
2.2369825999999997,5,9,74,75,20.316666666666666
2.7841582,1,11,74,236,11.883333333333333
2.2530759999999996,1,9,74,75,8.016666666666667
1.7702740000000001,1,15,66,33,6.3
2.0599552,1,19,74,152,8.983333333333333
4.184284,1,9,74,237,15.133333333333333
2.4461968,1,12,74,75,8.0
2.6875978,1,0,95,28,5.616666666666666
2.1565156,1,9,74,43,7.333333333333333
3.8302292,1,15,74,263,13.266666666666667
6.2120524,2,15,82,138,11.666666666666666
3.1060262,1,21,74,236,9.766666666666667
4.9889540000000006,1,16,74,238,22.233333333333334
7.3707772,1,7,74,244,15.25
2.3496364,1,9,74,75,11.883333333333333
2.2208892,1,7,74,75,8.883333333333333
2.3496364,1,13,42,166,10.366666666666667
2.6875978,1,20,166,116,9.716666666666667
2.172609,1,14,74,41,8.233333333333333
6.7753214,1,21,66,255,16.016666666666666
1.5771532,1,17,134,134,8.35
2.5749440000000003,1,12,75,237,9.533333333333333
3.2508668,1,14,74,236,10.0
2.1082354,1,10,74,43,9.933333333333334
1.9955816,1,20,97,189,7.1
5.149888000000001,1,15,75,143,21.666666666666668
3.2347733999999995,1,15,75,237,15.466666666666667
6.8879752000000005,1,0,80,160,22.683333333333334
25.9747476,1,8,41,205,58.95
1.5932466,1,17,43,236,4.616666666666666
5.4073823999999995,1,6,74,140,17.133333333333333
3.9589764,1,17,82,196,24.1
1.2552852,5,17,95,95,8.516666666666667
3.7014819999999995,1,11,42,238,12.883333333333333
14.644993999999999,1,8,130,9,25.35
2.41401,1,15,75,74,12.266666666666667
2.4944770000000003,1,17,75,74,13.7
1.4644994,1,16,42,41,6.716666666666667
22.369826,1,12,130,246,41.38333333333333
0.7885766,2,20,83,83,3.8
2.6232241999999997,1,2,145,229,6.216666666666667
2.5588506,1,7,43,236,18.083333333333332
2.092142,1,20,75,74,4.616666666666666
